year,oshpd_id,facility_name,county_name,er_service_level_desc,ed_admit,ed_visit,burden_score,facility_id,treatment_stations,visits_per_station,true_burden_score,has_treatment_data,burden_score_normalized,visits_per_station_normalized
2012,106100005,CLOVIS COMMUNITY MEDICAL CENTER,FRESNO,BASIC,3949.0,33811.0,0.4688243132502389,clovis-community-medical-center,,,0.4688243132502389,0,,
2012,106100697,COALINGA REGIONAL MEDICAL CENTER,FRESNO,STANDBY,340.0,7877.0,0.1092227120011869,coalinga-regional-medical-center,,,0.1092227120011869,0,,
2012,106100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,FRESNO,COMPREHENSIVE,22588.0,72278.0,1.0022088584514142,community-regional-medical-center-fresno,,,1.0022088584514142,0,,
2012,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,693.0,17147.0,0.2377608026766982,adventist-health-reedley,,,0.2377608026766982,0,,
2012,106100899,ST. AGNES MEDICAL CENTER,FRESNO,BASIC,14390.0,53713.0,0.7447860263704144,st-agnes-medical-center,,,0.7447860263704144,0,,
2012,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,BASIC,4262.0,24391.0,0.3382063181948648,kaiser-foundation-hospital---fresno,,,0.3382063181948648,0,,
2012,106110889,GLENN MEDICAL CENTER,GLENN,STANDBY,296.0,5174.0,0.0717428350760621,glenn-medical-center,,,0.0717428350760621,0,,
2012,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,BASIC,1178.0,14044.0,0.1947345140719397,mad-river-community-hospital,,,0.1947345140719397,0,,
2012,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,STANDBY,21.0,2670.0,0.037022297961555,jerold-phelps-community-hospital,,,0.037022297961555,0,,
2012,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,BASIC,884.0,11354.0,0.157434895526403,redwood-memorial-hospital,,,0.157434895526403,0,,
2012,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,BASIC,3887.0,20329.0,0.2818825075881845,st-joseph-hospital---eureka,,,0.2818825075881845,0,,
2012,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,BASIC,4823.0,40744.0,0.5649574936874903,el-centro-regional-medical-center,,,0.5649574936874903,0,,
2012,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,BASIC,2669.0,40405.0,0.5602569097890007,pioneers-memorial-healthcare-district,,,0.5602569097890007,0,,
2012,106141273,NORTHERN INYO HOSPITAL,INYO,BASIC,491.0,7743.0,0.1073646640885096,northern-inyo-hospital,,,0.1073646640885096,0,,
2012,106141338,SOUTHERN INYO HOSPITAL,INYO,STANDBY,71.0,1108.0,0.0153635603525853,southern-inyo-hospital,,,0.0153635603525853,0,,
2012,106150706,DELANO REGIONAL MEDICAL CENTER,KERN,BASIC,1595.0,22009.0,0.305177436642646,delano-regional-medical-center,,,0.305177436642646,0,,
2012,106150722,BAKERSFIELD MEMORIAL HOSPITAL,KERN,BASIC,9168.0,59532.0,0.8254724502798858,bakersfield-memorial-hospital,,,0.8254724502798858,0,,
2012,106150736,KERN MEDICAL CENTER,KERN,BASIC,4735.0,35101.0,0.4867114909170575,kern-medical-center,,,0.4867114909170575,0,,
2012,106150737,KERN VALLEY HEALTHCARE DISTRICT,KERN,STANDBY,593.0,6078.0,0.0842777254720343,kern-valley-healthcare-district,,,0.0842777254720343,0,,
2012,106150761,MERCY HOSPITAL - BAKERSFIELD,KERN,BASIC,6897.0,59308.0,0.8223664597392909,mercy-hospital---bakersfield,,,0.8223664597392909,0,,
2012,106150782,RIDGECREST REGIONAL HOSPITAL,KERN,BASIC,1332.0,14551.0,0.2017645908758754,ridgecrest-regional-hospital,,,0.2017645908758754,0,,
2012,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,12427.0,58713.0,0.8141161723658358,adventist-health-bakersfield,,,0.8141161723658358,0,,
2012,106150808,ADVENTIST HEALTH TEHACHAPI VALLEY,KERN,STANDBY,14.0,12381.0,0.1716753075138625,adventist-health-tehachapi-valley,,,0.1716753075138625,0,,
2012,106154101,BAKERSFIELD HEART HOSPITAL,KERN,BASIC,3261.0,8674.0,0.1202739372728571,bakersfield-heart-hospital,,,0.1202739372728571,0,,
2012,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,8372.0,95102.0,1.318687108891314,adventist-health-hanford,,,1.318687108891314,0,,
2012,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1156.0,15495.0,0.214854122439811,adventist-health-clearlake,,,0.214854122439811,0,,
2012,106171395,SUTTER LAKESIDE HOSPITAL,LAKE,BASIC,1373.0,18071.0,0.2505730136566522,sutter-lakeside-hospital,,,0.2505730136566522,0,,
2012,106184008,BANNER LASSEN MEDICAL CENTER,LASSEN,BASIC,885.0,9149.0,0.1268603011424221,banner-lassen-medical-center,,,0.1268603011424221,0,,
2012,106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,LOS ANGELES,BASIC,2603.0,10263.0,0.142307057670202,alhambra-hospital-medical-center,,,0.142307057670202,0,,
2012,106190034,ANTELOPE VALLEY HOSPITAL,LOS ANGELES,BASIC,13234.0,91791.0,1.2727766862131458,antelope-valley-hospital,,,1.2727766862131458,0,,
2012,106190045,CATALINA ISLAND MEDICAL CENTER,LOS ANGELES,STANDBY,15.0,1681.0,0.0233087950836606,catalina-island-medical-center,,,0.0233087950836606,0,,
2012,106190053,ST. MARY MEDICAL CENTER - LONG BEACH,LOS ANGELES,BASIC,6470.0,47941.0,0.6647513058332999,st-mary-medical-center---long-beach,,,0.6647513058332999,0,,
2012,106190066,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,LOS ANGELES,BASIC,2035.0,8889.0,0.1232551335506602,los-angeles-community-hospital-at-bellflower,,,0.1232551335506602,0,,
2012,106190081,BEVERLY HOSPITAL,LOS ANGELES,BASIC,6417.0,27197.0,0.3771143961274953,beverly-hospital,,,0.3771143961274953,0,,
2012,106190110,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,LOS ANGELES,BASIC,6316.0,18597.0,0.2578665450153705,southern-california-hospital-at-culver-city,,,0.2578665450153705,0,,
2012,106190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,LOS ANGELES,BASIC,9193.0,49197.0,0.6821670385073497,california-hospital-medical-center---los-angeles,,,0.6821670385073497,0,,
2012,106190148,CENTINELA HOSPITAL MEDICAL CENTER,LOS ANGELES,BASIC,16796.0,46998.0,0.6516756402985634,centinela-hospital-medical-center,,,0.6516756402985634,0,,
2012,106190159,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,LOS ANGELES,BASIC,1814.0,6563.0,0.0910027496335901,gardens-regional-hospital-and-medical-center,,,0.0910027496335901,0,,
2012,106190170,CHILDREN'S HOSPITAL OF LOS ANGELES,LOS ANGELES,BASIC,5657.0,60933.0,0.8448987571878029,childrens-hospital-of-los-angeles,,,0.8448987571878029,0,,
2012,106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,LOS ANGELES,STANDBY,3359.0,24139.0,0.3347120788366956,community-hospital-of-huntington-park,,,0.3347120788366956,0,,
2012,106190198,LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES,STANDBY,2414.0,8085.0,0.1121068460745964,los-angeles-community-hospital,,,0.1121068460745964,0,,
2012,106190200,SAN GABRIEL VALLEY MEDICAL CENTER,LOS ANGELES,BASIC,4988.0,19014.0,0.2636486791913887,san-gabriel-valley-medical-center,,,0.2636486791913887,0,,
2012,106190240,LAKEWOOD REGIONAL MEDICAL CENTER,LOS ANGELES,BASIC,6024.0,39161.0,0.5430075694653398,lakewood-regional-medical-center,,,0.5430075694653398,0,,
2012,106190243,PIH HEALTH HOSPITAL - DOWNEY,LOS ANGELES,BASIC,7702.0,43493.0,0.603075207955773,pih-health-hospital---downey,,,0.603075207955773,0,,
2012,106190256,EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,BASIC,2014.0,12623.0,0.1750308865800409,east-los-angeles-doctors-hospital,,,0.1750308865800409,0,,
2012,106190280,ENCINO HOSPITAL MEDICAL CENTER,LOS ANGELES,BASIC,1604.0,7619.0,0.1056452764678232,encino-hospital-medical-center,,,0.1056452764678232,0,,
2012,106190298,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,LOS ANGELES,BASIC,3445.0,23110.0,0.3204439347908379,emanate-health-foothill-presbyterian-hospital,,,0.3204439347908379,0,,
2012,106190315,GARFIELD MEDICAL CENTER,LOS ANGELES,BASIC,5838.0,16333.0,0.2264738549086436,garfield-medical-center,,,0.2264738549086436,0,,
2012,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,13144.0,32720.0,0.4536964753940379,adventist-health-glendale,,,0.4536964753940379,0,,
2012,106190328,GLENDORA COMMUNITY HOSPITAL,LOS ANGELES,BASIC,1571.0,2954.0,0.0409602502540949,glendora-community-hospital,,,0.0409602502540949,0,,
2012,106190352,GREATER EL MONTE COMMUNITY HOSPITAL,LOS ANGELES,BASIC,2621.0,14806.0,0.2053004283216419,greater-el-monte-community-hospital,,,0.2053004283216419,0,,
2012,106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,BASIC,5646.0,27395.0,0.379859869908914,hollywood-presbyterian-medical-center,,,0.379859869908914,0,,
2012,106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,LOS ANGELES,BASIC,10644.0,66761.0,0.9257099753600662,providence-holy-cross-medical-center,,,0.9257099753600662,0,,
2012,106190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,LOS ANGELES,BASIC,5187.0,22789.0,0.3159929394179318,good-samaritan-hospital-los-angeles,,,0.3159929394179318,0,,
2012,106190400,HUNTINGTON MEMORIAL HOSPITAL,LOS ANGELES,BASIC,13690.0,42490.0,0.5891675806690914,huntington-memorial-hospital,,,0.5891675806690914,0,,
2012,106190413,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,LOS ANGELES,BASIC,6751.0,14523.0,0.2013763420583011,emanate-health-inter-community-hospital,,,0.2013763420583011,0,,
2012,106190422,TORRANCE MEMORIAL MEDICAL CENTER,LOS ANGELES,BASIC,13851.0,42020.0,0.5826505469455218,torrance-memorial-medical-center,,,0.5826505469455218,0,,
2012,106190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,LOS ANGELES,BASIC,9074.0,62996.0,0.8735043754255138,kaiser-foundation-hospital---los-angeles,,,0.8735043754255138,0,,
2012,106190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,LOS ANGELES,BASIC,6678.0,49690.0,0.6890029909024983,kaiser-foundation-hospital---south-bay,,,0.6890029909024983,0,,
2012,106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,LOS ANGELES,BASIC,6346.0,46623.0,0.6464758793489067,kaiser-foundation-hospital---panorama-city,,,0.6464758793489067,0,,
2012,106190434,KAISER FOUNDATION HOSPITAL - WEST LA,LOS ANGELES,BASIC,5678.0,60645.0,0.8409053407784667,kaiser-foundation-hospital---west-la,,,0.8409053407784667,0,,
2012,106190470,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,LOS ANGELES,BASIC,12741.0,53945.0,0.7480029451446019,providence-little-company-of-mary-medical-center-torrance,,,0.7480029451446019,0,,
2012,106190475,COMMUNITY HOSPITAL LONG BEACH,LOS ANGELES,BASIC,3572.0,18933.0,0.2625255308262628,community-hospital-long-beach,,,0.2625255308262628,0,,
2012,106190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,LOS ANGELES,BASIC,2912.0,19189.0,0.2660752343012284,cedars-sinai-marina-del-rey-hospital,,,0.2660752343012284,0,,
2012,106190517,PROVIDENCE TARZANA MEDICAL CENTER,LOS ANGELES,BASIC,8694.0,26433.0,0.366520749819395,providence-tarzana-medical-center,,,0.366520749819395,0,,
2012,106190521,MEMORIAL HOSPITAL OF GARDENA,LOS ANGELES,BASIC,5385.0,29183.0,0.4046523301168768,memorial-hospital-of-gardena,,,0.4046523301168768,0,,
2012,106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,LOS ANGELES,BASIC,6205.0,26677.0,0.3699040609439715,glendale-memorial-hospital-and-health-center,,,0.3699040609439715,0,,
2012,106190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,LOS ANGELES,BASIC,4915.0,13919.0,0.1930012604220542,mission-community-hospital---panorama-campus,,,0.1930012604220542,0,,
2012,106190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,LOS ANGELES,BASIC,14818.0,68685.0,0.9523882155391044,memorialcare-long-beach-medical-center,,,0.9523882155391044,0,,
2012,106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,LOS ANGELES,BASIC,10628.0,29918.0,0.4148438615782037,methodist-hospital-of-southern-california,,,0.4148438615782037,0,,
