year,oshpd_id,facility_name,county_name,er_service_level_desc,ed_admit,ed_visit,burden_score,facility_id
2015,106150761,MERCY HOSPITAL - BAKERSFIELD,KERN,BASIC,6667.0,71714.0,0.9943884179831306,mercy-hospital---bakersfield
2015,106150782,RIDGECREST REGIONAL HOSPITAL,KERN,BASIC,1205.0,18428.0,0.2555231860807253,ridgecrest-regional-hospital
2015,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,10937.0,65202.0,0.9040928358386937,adventist-health-bakersfield
2015,106150808,ADVENTIST HEALTH TEHACHAPI VALLEY,KERN,STANDBY,109.0,13680.0,0.18968727944347305,adventist-health-tehachapi-valley
2015,106154101,BAKERSFIELD HEART HOSPITAL,KERN,BASIC,2904.0,9809.0,0.1360118804138178,bakersfield-heart-hospital
2015,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,7350.0,114601.0,1.5890608122442584,adventist-health-hanford
2015,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1123.0,20252.0,0.280814823339855,adventist-health-clearlake
2015,106171395,SUTTER LAKESIDE HOSPITAL,LAKE,BASIC,1149.0,18618.0,0.25815773162855127,sutter-lakeside-hospital
2015,106184008,BANNER LASSEN MEDICAL CENTER,LASSEN,BASIC,790.0,10917.0,0.15137544076640316,banner-lassen-medical-center
2015,106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,LOS ANGELES,BASIC,3243.0,13639.0,0.1891187722463106,alhambra-hospital-medical-center
2015,106190034,ANTELOPE VALLEY HOSPITAL,LOS ANGELES,BASIC,11736.0,108685.0,1.507029383502476,antelope-valley-hospital
2015,106190045,CATALINA ISLAND MEDICAL CENTER,LOS ANGELES,STANDBY,10.0,1945.0,0.02696942679221894,catalina-island-medical-center
2015,106190053,ST. MARY MEDICAL CENTER - LONG BEACH,LOS ANGELES,BASIC,6854.0,48363.0,0.6706027701553134,st-mary-medical-center---long-beach
