feature,coefficient
rolling_mean_7,-3.8066260525903846
ed_visits_per_year,2.020134961233798
rolling_mean_3,1.1487016697745005
pct_change_recent,1.083759851425015
burden_lag_1,0.8779464781374678
is_post_covid,0.7687131503621123
year_index,-0.7049554910355893
burden_lag_2,0.6290605150664402
burden_lag_3,-0.47803156206553543
rolling_std_7,-0.4740101608150142
month,0.0
