county_name,year,mean_burden_score
KINGS,2021,1.1154
KINGS,2022,1.2774
KINGS,2023,1.3088
KINGS,2024,1.3131
LAKE,2012,0.2327
LAKE,2013,0.2389
LAKE,2014,0.2501
LAKE,2015,0.2695
LAKE,2016,0.2763
LAKE,2017,0.2801
LAKE,2018,0.2795
LAKE,2019,0.285
LAKE,2020,0.2257
LAKE,2021,0.24
LAKE,2022,0.2704
LAKE,2023,0.2694
LAKE,2024,0.2829
LASSEN,2012,0.1269
LASSEN,2013,0.1306
LASSEN,2014,0.1355
LASSEN,2015,0.1514
LASSEN,2016,0.1565
LASSEN,2017,0.1528
LASSEN,2018,0.1432
LASSEN,2019,0.1465
LASSEN,2020,0.1262
LASSEN,2021,0.1336
LASSEN,2022,0.1407
LASSEN,2023,0.1418
LASSEN,2024,0.1524
LOS ANGELES,2012,0.4832
LOS ANGELES,2013,0.4967
LOS ANGELES,2014,0.5298
LOS ANGELES,2015,0.5565
LOS ANGELES,2016,0.5799
LOS ANGELES,2017,0.6017
LOS ANGELES,2018,0.6067
LOS ANGELES,2019,0.6319
LOS ANGELES,2020,0.4658
LOS ANGELES,2021,0.4988
LOS ANGELES,2022,0.5757
LOS ANGELES,2023,0.5725
LOS ANGELES,2024,0.6001
MADERA,2012,0.7901
MADERA,2013,0.8438
MADERA,2014,0.9056
MADERA,2015,1.0394
MADERA,2016,1.048
MADERA,2017,1.0111
MADERA,2018,0.9429
MADERA,2019,0.9114
MADERA,2020,0.633
MADERA,2021,0.7087
MADERA,2022,0.7584
MADERA,2023,1.1306
MADERA,2024,1.2409
MARIN,2012,0.2925
MARIN,2013,0.3099
MARIN,2014,0.3052
MARIN,2015,0.3186
MARIN,2016,0.3188
MARIN,2017,0.3198
MARIN,2018,0.3156
MARIN,2019,0.3304
MARIN,2020,0.2562
MARIN,2021,0.2997
MARIN,2022,0.3359
MARIN,2023,0.3628
MARIN,2024,0.3762
MARIPOSA,2012,0.0699
MARIPOSA,2013,0.0682
MARIPOSA,2014,0.075
MARIPOSA,2015,0.081
MARIPOSA,2016,0.0837
MARIPOSA,2017,0.0971
MARIPOSA,2018,0.0919
MARIPOSA,2019,0.0904
MARIPOSA,2020,0.0747
MARIPOSA,2021,0.0778
MARIPOSA,2022,0.0901
MARIPOSA,2023,0.0935
MARIPOSA,2024,0.096
MENDOCINO,2012,0.1808
MENDOCINO,2013,0.1804
MENDOCINO,2014,0.1807
MENDOCINO,2015,0.1608
MENDOCINO,2016,0.2301
MENDOCINO,2017,0.2346
MENDOCINO,2018,0.2347
MENDOCINO,2019,0.2454
MENDOCINO,2020,0.1974
MENDOCINO,2021,0.2152
MENDOCINO,2022,0.2439
MENDOCINO,2023,0.2428
MENDOCINO,2024,0.2584
MERCED,2012,0.5619
MERCED,2013,0.5731
MERCED,2014,0.622
MERCED,2015,0.6776
MERCED,2016,0.6589
MERCED,2017,0.661
MERCED,2018,0.6206
MERCED,2019,0.6001
MERCED,2020,0.4769
MERCED,2021,0.5198
MERCED,2022,0.5833
MERCED,2023,0.6239
MERCED,2024,0.6394
MODOC,2012,0.0291
MODOC,2013,0.0287
MODOC,2014,0.0289
MODOC,2015,0.0324
MODOC,2016,0.0309
MODOC,2017,0.0349
MODOC,2018,0.0348
MODOC,2019,0.0347
MODOC,2020,0.0304
MODOC,2021,0.0361
MODOC,2022,0.0425
MODOC,2023,0.0398
MODOC,2024,0.0423
MONO,2012,0.1022
MONO,2013,0.1083
MONO,2014,0.1034
MONO,2015,0.113
MONO,2016,0.1269
MONO,2017,0.1184
